Bra000001	DNAse I-like superfamily protein
Bra038112	Lactate/malate dehydrogenase family protein
Bra038113	RNA-binding (RRM/RBD/RNP motifs) family protein
Bra038114	Galactosyltransferase family protein
Bra038115	No annotation found
Bra038116	tetratricopetide-repeat thioredoxin-like 1
Bra038117	No annotation found
Bra038118	No annotation found
Bra038119	F-box and associated interaction domains-containing protein
Bra038120	F-box and associated interaction domains-containing protein
Bra038121	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra038122	RING/U-box superfamily protein
Bra038123	Ubiquitin domain-containing protein
Bra038124	Leucine-rich repeat transmembrane protein kinase
Bra038125	Phospholipase A2 family protein
Bra038126	RING/U-box superfamily protein
Bra038127	NAD-dependent epimerase/dehydratase family protein
Bra038128	mitogen-activated protein kinase 18
Bra038129	Calcium-dependent lipid-binding (CaLB domain) family protein
Bra038130	No annotation found
Bra038131	Eukaryotic aspartyl protease family protein
Bra038132	No annotation found
Bra038133	No annotation found
Bra038134	No annotation found
Bra038135	No annotation found
Bra038136	No annotation found
Bra038137	hydroxyproline-rich glycoprotein family protein
Bra038138	CTC-interacting domain 8
Bra038140	glutathione S-transferase TAU 28
Bra038141	No annotation found
Bra038142	No annotation found
Bra038143	DNA directed RNA polymerase, 7 kDa subunit
Bra038144	Toll-Interleukin-Resistance (TIR) domain family protein
Bra038145	No annotation found
Bra038146	No annotation found
Bra038147	emp24/gp25L/p24 family/GOLD family protein
Bra038148	No annotation found
Bra038149	calcium-dependent protein kinase 28
Bra038150	No annotation found
Bra038151	Protein of unknown function (DUF1216)
Bra038152	ABC2 homolog 15
Bra038153	Protein of unknown function (DUF607)
Bra038154	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra038155	cysteine-type peptidases;cysteine-type peptidases
Bra038156	No annotation found
Bra038157	Protein of unknown function, DUF538
Bra038158	Pre-mRNA splicing Prp18-interacting factor
Bra038159	Nucleic acid-binding, OB-fold-like protein
Bra038160	Pectin lyase-like superfamily protein
Bra038161	HIT zinc finger ;PAPA-1-like conserved region
Bra038162	20S proteasome beta subunit G1
Bra038163	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra038164	nicotianamine synthase 4
Bra038165	No annotation found
Bra038166	calreticulin 1a
Bra038167	cytochrome P450, family 82, subfamily F, polypeptide 1
Bra038168	No annotation found
Bra038169	secretion-associated RAS 1B
Bra038170	Chaperone DnaJ-domain superfamily protein
Bra038171	Protein of unknown function (DUF1637)
Bra038172	No annotation found
Bra038173	No annotation found
Bra038174	phloem protein 2-B13
Bra038175	No annotation found
Bra038176	Protein of unknown function (DUF1399)
Bra038177	No annotation found
Bra038178	No annotation found
Bra038179	Ribonuclease H-like superfamily protein
Bra038180	No annotation found
Bra038181	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain
Bra038182	No annotation found
Bra038183	No annotation found
Bra038184	No annotation found
Bra038185	No annotation found
Bra038186	No annotation found
Bra038187	No annotation found
Bra038188	No annotation found
Bra038189	acyl activating enzyme 12
Bra038190	No annotation found
Bra038191	No annotation found
Bra038192	No annotation found
Bra038193	No annotation found
Bra038194	No annotation found
Bra038195	microsomal glutathione s-transferase, putative
Bra038196	No annotation found
Bra038197	YELLOW STRIPE like 7
Bra038198	YELLOW STRIPE like 7
Bra038199	RING/U-box superfamily protein
Bra038200	No annotation found
Bra038201	cytosolic NADP+-dependent isocitrate dehydrogenase
Bra038202	Phototropic-responsive NPH3 family protein
Bra038203	poly(A) binding protein 8
Bra038204	Zinc finger (CCCH-type) family protein
Bra038205	plant U-box 25
Bra038206	Granulin repeat cysteine protease family protein
Bra038207	Cysteine proteinases superfamily protein
Bra038208	Granulin repeat cysteine protease family protein
Bra038209	PTEN 2
Bra038210	late embryogenesis abundant protein-related / LEA protein-related
Bra038211	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra038212	No annotation found
Bra038213	Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain
Bra038214	Protein of unknown function (DUF620)
Bra038215	No annotation found
Bra038216	No annotation found
Bra038217	Amino acid permease family protein
Bra038218	Family of unknown function (DUF566) 
Bra038219	zinc-finger protein 2
Bra038220	Transducin/WD40 repeat-like superfamily protein
Bra038221	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Bra038222	No annotation found
Bra038223	magnesium transporter 4
Bra038224	No annotation found
Bra038225	AGAMOUS-like 62
Bra038226	Ribosomal protein S10p/S20e family protein
Bra038227	Protein of unknown function (DUF1005)
Bra038228	Leucine-rich repeat protein kinase family protein
Bra038229	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra038230	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra038231	eukaryotic initiation factor 4A-III
Bra038232	Protein of unknown function (DUF177)
Bra038233	cell elongation protein / DWARF1 / DIMINUTO (DIM)
Bra038234	Calcium-dependent lipid-binding (CaLB domain) family protein
Bra038235	Phototropic-responsive NPH3 family protein
Bra038236	nucleotide binding protein 35
Bra038237	No annotation found
Bra038238	RING/U-box superfamily protein
Bra038239	No annotation found
Bra038240	RING/U-box superfamily protein
Bra038241	No annotation found
Bra038242	sugar transporter 4
Bra038243	Major facilitator superfamily protein
Bra038245	Major facilitator superfamily protein
Bra038246	RING/U-box superfamily protein
Bra038247	flower-specific, phytochrome-associated protein phosphatase 3
Bra038248	No annotation found
Bra038249	translocase of the outer mitochondrial membrane 40
Bra038250	No annotation found
Bra038251	SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-related
Bra038252	T-complex protein 1 alpha subunit
Bra038253	ubiquitin-conjugating enzyme19
Bra038254	cytochrome P450, family 705, subfamily A, polypeptide 3
Bra038255	Leucine-rich repeat protein kinase family protein
Bra038256	delta vacuolar processing enzyme
Bra038257	pumilio 5
Bra038258	No annotation found
Bra038259	EPS15 homology domain 1
Bra038260	Protein of unknown function (DUF3537)
Bra038261	ethylene response factor 7
Bra038262	trigalactosyldiacylglycerol2
Bra038263	PYRIMIDINE B
Bra038264	No annotation found
Bra038265	RAB GTPase homolog 8A
Bra038266	actin depolymerizing factor 2
Bra038267	Histone superfamily protein
Bra038268	Histone superfamily protein
Bra038269	Ribonuclease P protein subunit P38-related
Bra038270	Protein of unknown function, DUF647
Bra038271	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bra038272	nodulin MtN21 /EamA-like transporter family protein
Bra038273	No annotation found
Bra038274	ferric reductase-like transmembrane component family protein
Bra038275	No annotation found
Bra038276	IBR domain-containing protein
Bra038277	Nucleotidyltransferase family protein
Bra038278	No annotation found
Bra038279	hydrolase family protein / HAD-superfamily protein
Bra038280	nitrate excretion transporter1
Bra038281	mitogen-activated protein kinase 3
Bra038282	RNA binding (RRM/RBD/RNP motifs) family protein
Bra038283	Transducin/WD40 repeat-like superfamily protein
Bra038284	PDI-like 1-5
Bra038285	zinc finger (C3HC4-type RING finger) family protein
Bra038286	Concanavalin A-like lectin protein kinase family protein
Bra038287	Concanavalin A-like lectin protein kinase family protein
Bra038288	exostosin family protein
Bra038289	Concanavalin A-like lectin protein kinase family protein
Bra038290	DNA-binding protein with MIZ/SP-RING zinc finger, PHD-finger and SAP domain
Bra038291	isovaleryl-CoA-dehydrogenase
Bra038292	syntaxin of plants 72
Bra038293	C2H2-like zinc finger protein
Bra038294	hydroxyproline-rich glycoprotein family protein
Bra038295	Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
Bra038296	No annotation found
Bra038297	No annotation found
Bra038298	SIT4 phosphatase-associated family protein
Bra038299	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra038300	RNA-directed DNA polymerase (reverse transcriptase)-related family protein
Bra038301	high affinity nitrate transporter 2.6
Bra038302	high affinity nitrate transporter 2.6
Bra038303	No annotation found
Bra038304	No annotation found
Bra038305	DHHC-type zinc finger family protein
Bra038306	RING/U-box superfamily protein
Bra038307	Transducin/WD40 repeat-like superfamily protein
Bra038308	homologue of bacterial MinE 1
Bra038309	Protein of unknown function (DUF155)
Bra038310	Calcium-binding EF hand family protein
Bra038311	appr-1-p processing enzyme family protein
Bra038312	Remorin family protein
Bra038313	WRKY DNA-binding protein 57
Bra038314	plasmodesmata callose-binding protein 4
Bra038315	Pentatricopeptide repeat (PPR) superfamily protein
Bra038316	receptor-like protein kinase 1
Bra038317	BSD domain (BTF2-like transcription factors, Synapse-associated proteins and DOS2-like proteins)
Bra038318	Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain
Bra038319	No annotation found
Bra038320	methyl esterase 15
Bra038321	SPIRAL1-like1
Bra038322	Uncharacterised protein family UPF0090
Bra038323	Plant invertase/pectin methylesterase inhibitor superfamily protein
Bra038324	Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein
Bra038325	No annotation found
Bra038326	K-box region and MADS-box transcription factor family protein 
Bra038327	No annotation found
Bra038328	Plant invertase/pectin methylesterase inhibitor superfamily protein
Bra038329	No annotation found
Bra038330	ACT domain repeat 4
Bra038331	BSD domain-containing protein
Bra038332	BES1-interacting Myc-like protein 2
Bra038333	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra038334	Family of unknown function (DUF572) 
Bra038335	cellular apoptosis susceptibility protein, putative / importin-alpha re-exporter, putative
Bra038336	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra038337	No annotation found
Bra038338	No annotation found
Bra038339	WPP domain-interacting protein 2
Bra038340	magnesium ion binding;thiamin pyrophosphate binding;hydro-lyases;catalytics;2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthases
Bra038341	basic leucine-zipper 8
Bra038342	NAD(P)-binding Rossmann-fold superfamily protein
Bra038343	No annotation found
Bra038344	SOB five-like 2
Bra038345	Peroxidase superfamily protein
Bra038346	related to ABI3/VP1 2
Bra038347	Transmembrane Fragile-X-F-associated protein
Bra038348	Transmembrane Fragile-X-F-associated protein
Bra038349	No annotation found
Bra038350	TCP domain protein 12
Bra038351	CLAVATA3/ESR-RELATED 12
Bra038352	Pyruvate kinase family protein
Bra038353	little nuclei3
Bra038354	Putative membrane lipoprotein
Bra038355	nudix hydrolase  1
Bra038356	Domain of unknown function (DUF1985)
Bra038357	EXS (ERD1/XPR1/SYG1) family protein
Bra038358	Zim17-type zinc finger protein
Bra038359	tRNA arginine adenosine deaminase
Bra038360	myb-like transcription factor family protein
Bra038361	Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein
Bra038362	No annotation found
Bra038363	alpha/beta-Hydrolases superfamily protein
Bra038364	Ribosomal protein PSRP-3/Ycf65
Bra038365	No annotation found
Bra038366_Bra038367	Major facilitator superfamily protein
Bra038368	NAD(P)-binding Rossmann-fold superfamily protein
Bra038369	Protein kinase superfamily protein
Bra038370	RH39
Bra038371	RAB GTPase homolog G3A
Bra038372	conserved telomere maintenance component 1
Bra038373	Glucose-methanol-choline (GMC) oxidoreductase family protein
Bra038374	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra038375	No annotation found
Bra038376	ARM repeat superfamily protein
Bra038377	ATP synthase delta-subunit gene
Bra038378	thioredoxin-dependent peroxidase 1
Bra038379	DNAJ heat shock N-terminal domain-containing protein
Bra038380	SNARE associated Golgi protein family
Bra038381	Chaperone DnaJ-domain superfamily protein
Bra038382	No annotation found
Bra038383	No annotation found
Bra038384	T-complex protein 11
Bra038385	double-stranded RNA binding protein-related / DsRBD protein-related
Bra038386	RING/U-box superfamily protein
Bra038387	No annotation found
Bra038388	No annotation found
Bra038389	RNA-binding (RRM/RBD/RNP motifs) family protein
Bra038390	arabinogalactan protein 5
Bra038391	No annotation found
Bra038392	No annotation found
Bra038393	Nucleic acid-binding, OB-fold-like protein
Bra038394	No annotation found
Bra038395	No annotation found
Bra038396	O-methyltransferase family protein
Bra038397	Nucleic acid-binding, OB-fold-like protein
Bra038398	Mitochondrial ribosomal protein L27
Bra038399	No annotation found
Bra038400	phosphoenolpyruvate carboxylase 3
Bra038401	No annotation found
Bra038402	F-BOX WITH WD-40 2
Bra038403	PLATZ transcription factor family protein
Bra038404	No annotation found
Bra038405	N-acetylglucosamine-1-phosphate uridylyltransferase 1
Bra038406	Nucleotide-diphospho-sugar transferase family protein
Bra038407	RNA binding (RRM/RBD/RNP motifs) family protein
Bra038408	pumilio 18
Bra038409	Arabidopsis phospholipase-like protein (PEARLI 4) family
Bra038410	K+ uptake permease 10
Bra038411	No annotation found
Bra038412	sulfiredoxin
Bra038413	cytochrome P450, family 96, subfamily A, polypeptide 1
Bra038414	spermidine disinapoyl acyltransferase
Bra038415	zinc finger (CCCH-type/C3HC4-type RING finger) family protein
Bra038416_Bra038417	zinc transporter 10 precursor
Bra038418	photosystem I subunit F
Bra038419	KAR-UP F-box 1
Bra038420	No annotation found
Bra038421	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra038422	RECQ helicase L2
Bra038423	Pentatricopeptide repeat (PPR-like) superfamily protein
Bra038424	SH3 domain-containing protein
Bra038425	shoot gravitropism 2 (SGR2)
Bra038426	DNAse I-like superfamily protein
Bra038427	RNA-binding (RRM/RBD/RNP motifs) family protein
Bra038428	vacuolar proton ATPase A3
Bra038429	No annotation found
Bra038430	Copper amine oxidase family protein
Bra038431	Copper amine oxidase family protein
Bra038432	Copper amine oxidase family protein
Bra038433	DNA-binding HORMA family protein
Bra038434	Protein of unknown function (DUF1218)
Bra038435	No annotation found
Bra038436	glycine-rich protein
Bra038437	cytochrome P450, family 97, subfamily A, polypeptide 3
Bra038438	Formin Homology 14
Bra038439	acyl-CoA-binding protein 6
Bra038440	DOMAIN OF UNKNOWN FUNCTION 724 2
Bra038441	No annotation found
Bra038442	xyloglucan endotransglucosylase/hydrolase 15
Bra038443	No annotation found
Bra038444	COP9 signalosome, subunit CSN8
Bra038445	UDP-Glycosyltransferase superfamily protein
Bra038446	RNA binding;abscisic acid binding
Bra038447	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bra038448	guanyl-nucleotide exchange factors;GTPase binding;GTP binding
Bra038449	Heavy metal transport/detoxification superfamily protein 
Bra038450	Sec23/Sec24 protein transport family protein
Bra038451	Heavy metal transport/detoxification superfamily protein 
Bra038452	No annotation found
Bra038453	pentatricopeptide (PPR) repeat-containing protein
Bra038454	No annotation found
Bra038455	No annotation found
Bra038456	No annotation found
Bra038457	No annotation found
Bra038458	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra038459	ferredoxin hydrogenases
Bra038460	Uncharacterised protein family (UPF0497)
Bra038461	No annotation found
Bra038462	No annotation found
Bra038463	Zinc finger, C3HC4 type (RING finger) family protein
Bra038464	appr-1-p processing enzyme family protein
Bra038465	No annotation found
Bra038466	No annotation found
Bra038467	Protein kinase superfamily protein
Bra038468	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra038469	inositol transporter 4
Bra038470	ARM repeat superfamily protein
Bra038471	No annotation found
Bra038472	Adenine nucleotide alpha hydrolases-like superfamily protein
Bra038473	Mannose-binding lectin superfamily protein
Bra038474	Cystatin/monellin superfamily protein
Bra038475	Cystatin/monellin superfamily protein
Bra038476	No annotation found
Bra038477	Cystatin/monellin superfamily protein
Bra038478	Cystatin/monellin superfamily protein
Bra038479	Cystatin/monellin superfamily protein
Bra038480	No annotation found
Bra038481	Ubiquitin-like superfamily protein
Bra038482	No annotation found
Bra038483	seed storage albumin 4
Bra038484	HSP20-like chaperone
Bra038485	HSP20-like chaperone
Bra038486	Eukaryotic aspartyl protease family protein
Bra038487	histidine triad nucleotide-binding 4
Bra038488	protein arginine methyltransferase 7
Bra038489	Protein phosphatase 2C family protein
Bra038490	Nucleotide-diphospho-sugar transferases superfamily protein
Bra038491	C2H2-like zinc finger protein
Bra038492	DEA(D/H)-box RNA helicase family protein
Bra038493	Matrixin family protein
Bra038494	inositol requiring 1-1
Bra038495	O-fucosyltransferase family protein
Bra038496	heat shock protein 70 (Hsp 70) family protein
Bra038497	Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region
Bra038498	RNA helicase family protein
Bra038499	methyl esterase 16
Bra038500	No annotation found
Bra038501	phosphatidylserine decarboxylase 1
Bra038502	glycosyltransferase family protein 28
Bra038503	Ribosomal protein L23/L15e family protein
Bra038504	terpene synthase 02
Bra038505	Exostosin family protein
Bra038506	Rhamnogalacturonate lyase family protein
Bra038507	Di-glucose binding protein with Kinesin motor domain
Bra038508	RNA-binding KH domain-containing protein
Bra038509	nicotinamidase 1
Bra038510	Kinase interacting (KIP1-like) family protein
Bra038511	K-box region and MADS-box transcription factor family protein 
Bra038512	Alkaline-phosphatase-like family protein
Bra038513	F-box and associated interaction domains-containing protein
Bra038514	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra038515	Zinc finger (C3HC4-type RING finger) family protein
Bra038516	No annotation found
Bra038517	uncoupling protein 5
Bra038518	Cyclin D2;1
Bra038519	phosphofructokinase 5
Bra038520	GRAM domain family protein
Bra038521	arabinogalactan protein 2
Bra038522	riboflavin biosynthesis protein, putative
Bra038523	homeobox protein 6
Bra038524	evolutionarily conserved C-terminal region 3
Bra038525	Microsomal signal peptidase 12 kDa subunit (SPC12)
Bra038526	Peroxidase superfamily protein
Bra038527	No annotation found
Bra038528	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra038529	DA1-related protein 5
Bra038530	DA1-related protein 5
Bra038531	No annotation found
Bra038532	No annotation found
Bra038533	ubiquitin-specific protease 4
Bra038534	signal responsive 1
Bra038535	RAB GTPase homolog H1D
Bra038536	oxidoreductase, 2OG-Fe(II) oxygenase family protein
Bra038537	aspartate aminotransferase
Bra038538	myo-inositol-1-phosphate synthase 2
Bra038539	Thioesterase superfamily protein
Bra038540	hydroxyproline-rich glycoprotein family protein
Bra038541	Lipase/lipooxygenase, PLAT/LH2 family protein
Bra038542	Ubiquitin-conjugating enzyme family protein
Bra038543	Protein of unknown function (DUF677)
Bra038544	geranylgeranyl pyrophosphate synthase 4
Bra038545	RING/U-box superfamily protein
Bra038546	No annotation found
Bra038547	No annotation found
Bra038548	trehalose phosphatase/synthase 11
Bra038549	diacylglycerol kinase 3
Bra038550	GAST1 protein homolog 1
Bra038551	Cysteine/Histidine-rich C1 domain family protein
Bra038552	Calmodulin-binding protein
Bra038553	Afadin/alpha-actinin-binding protein
Bra038554	No annotation found
Bra038555	Protein kinase superfamily protein
Bra038556	Transducin/WD40 repeat-like superfamily protein
Bra038557	hydroxyproline-rich glycoprotein family protein
Bra038558	No annotation found
Bra038559	No annotation found
Bra038560	GDSL-like Lipase/Acylhydrolase superfamily protein
Bra038561	spermidine hydroxycinnamoyl transferase
Bra038562	metaxin-related
Bra038563	Protein of unknown function (DUF630 and DUF632)
Bra038564	No annotation found
Bra038565	proteasome beta subunit C1
Bra038566	S-locus lectin protein kinase family protein
Bra038567	S-locus lectin protein kinase family protein
Bra038568	No annotation found
Bra038569	terpene synthase 04
Bra038570	No annotation found
Bra038571	No annotation found
Bra038572	No annotation found
Bra038573	SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-related
Bra038574	LisH and RanBPM domains containing protein
Bra038575	No annotation found
Bra038576	No annotation found
Bra038577	F-box family protein
Bra038578	ARM repeat superfamily protein
Bra038579	S-locus lectin protein kinase family protein
Bra038580	Ribosomal protein L31e family protein
Bra038581	Leucine-rich repeat protein kinase family protein
Bra038582	No annotation found
Bra038583	DNA-binding storekeeper protein-related transcriptional regulator
Bra038584	photosystem I light harvesting complex gene 3
Bra038585	Seven transmembrane MLO family protein
Bra038586	No annotation found
Bra038587	histone deacetylase 2B
Bra038588	Plastid-lipid associated protein PAP / fibrillin family protein
Bra038589	R-protein L3 B
Bra038590	DNA-binding HORMA family protein
Bra038591	Protein kinase superfamily protein
Bra038592	Plant self-incompatibility protein S1 family
Bra038593	No annotation found
Bra038594	Protein of unknown function (DUF1262)
Bra038595	No annotation found
Bra038596	Plant protein of unknown function (DUF936)
Bra038598	Plant protein of unknown function (DUF936)
Bra038599	Ubiquitin carboxyl-terminal hydrolase family protein
Bra038600	Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein
Bra038601	Transducin/WD40 repeat-like superfamily protein
Bra038602	Thioredoxin superfamily protein
Bra038603	No annotation found
Bra038604	embryo defective 2759
Bra038605	zinc finger protein-related
Bra038606	Lateral organ boundaries (LOB) domain family protein
Bra038607	histone deacetylase 6
Bra038608	Octicosapeptide/Phox/Bem1p family protein
Bra038609	No annotation found
Bra038610	purple acid phosphatase 29
Bra038611	purple acid phosphatase 29
Bra038612	BTB and TAZ domain protein 1
Bra038613	zinc finger (ubiquitin-hydrolase) domain-containing protein
Bra038614	Pectin lyase-like superfamily protein
Bra038615	MA3 domain-containing protein
Bra038616	alpha/beta-Hydrolases superfamily protein
Bra038617	No annotation found
Bra038618	Carbohydrate-binding X8 domain superfamily protein
Bra038619	Zinc finger C-x8-C-x5-C-x3-H type family protein
Bra038620	RPM1-interacting protein 4 (RIN4) family protein
Bra038621	nucleoside diphosphate kinase 2
Bra038622	nuclear protein X1
Bra038623	calmodulin binding;transcription regulators
Bra038624	nuclear protein X1
Bra038625_Bra038626	No annotation found
Bra038627	O-fucosyltransferase family protein
Bra038628	adenylate kinase 1
Bra038629	RNA-metabolising metallo-beta-lactamase family protein
Bra038630	Protein of unknown function (DUF167)
Bra038631	No annotation found
Bra038632	cytochrome P450, family 94, subfamily B, polypeptide 1
Bra038633	No annotation found
Bra038634	No annotation found
Bra038635	receptor kinase 3
Bra038636	nuclear factor Y, subunit C4
Bra038637	No annotation found
Bra038638	CBS / octicosapeptide/Phox/Bemp1 (PB1) domains-containing protein
Bra038639	Protein of unknown function (DUF 3339)
Bra038640	gamma carbonic anhydrase like 1
Bra038641	No annotation found
Bra038642	farnesylated protein 3
Bra038643	No annotation found
Bra038644	DEK domain-containing chromatin associated protein
Bra038645	HXXXD-type acyl-transferase family protein
Bra038646	glutamate-1-semialdehyde-2,1-aminomutase
Bra038647	flavonol synthase 1
Bra038648	flavonol synthase 3
Bra038649	GroES-like zinc-binding alcohol dehydrogenase family protein
Bra038650	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra038651	ENTH/VHS/GAT family protein
Bra038652	SNF1-related protein kinase 2.5
Bra038653	transducin family protein / WD-40 repeat family protein
Bra038654	Pyruvate kinase family protein
Bra038655	Nucleic acid-binding, OB-fold-like protein
Bra038656	Leucine-rich repeat protein kinase family protein
Bra038657	kokopelli
Bra038658	IBR domain-containing protein
Bra038659	RING/U-box superfamily protein
Bra038660	RING/U-box superfamily protein
Bra038661	diacylglycerol kinase 2
Bra038662	RING/FYVE/PHD zinc finger superfamily protein
Bra038663	NAC domain containing protein 102
Bra038664	No annotation found
Bra038665	No annotation found
Bra038666	No annotation found
Bra038667	Thioredoxin superfamily protein
Bra038668	No annotation found
Bra038669	NDR1/HIN1-like 2
Bra038670	No annotation found
Bra038671	NDR1/HIN1-like 1
Bra038672	Aluminium activated malate transporter family protein
Bra038673	No annotation found
Bra038674	FASCICLIN-like arabinogalactan protein 18 precursor
Bra038675	lysyl-tRNA synthetase 1
Bra038676	Ras-related small GTP-binding family protein
Bra038677	Protein of unknown function (DUF567)
Bra038678	Dihydroneopterin aldolase
Bra038679	No annotation found
Bra038680	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Bra038681	MD-2-related lipid recognition domain-containing protein / ML domain-containing protein
Bra038682	TCP-1/cpn60 chaperonin family protein
Bra038683	plant U-box 24
Bra038684	Protein of unknown function, DUF593
Bra038685	ubiquitin-specific protease 13
Bra038686	glutaredoxin-related
Bra038687	Putative endonuclease or glycosyl hydrolase
Bra038688	Adenine nucleotide alpha hydrolases-like superfamily protein
Bra038689	ribosomal protein 5B
Bra038690	RNA binding;RNA binding
Bra038691	Jojoba acyl CoA reductase-related male sterility protein
Bra038692	Protein of unknown function (DUF784)
Bra038693	downregulated in DIF1 18
Bra038694	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra038695	Protein of unknown function DUF106, transmembrane
Bra038696	Plant protein of unknown function (DUF828)
Bra038697	KH domain-containing protein / zinc finger (CCCH type) family protein
Bra038698	Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein
Bra038699	Protein of unknown function (DUF784)
Bra038700	Leucine-rich repeat (LRR) family protein
Bra038701	RAB GTPase homolog A4D
Bra038702	Chaperone DnaJ-domain superfamily protein
Bra038703	NIMA-related kinase 7
Bra038704	serine carboxypeptidase-like 21
Bra038705	TGACG motif-binding factor 6
Bra038706	LYR family of Fe/S cluster biogenesis protein
Bra038707	retinoblastoma-related 1
Bra038708	No annotation found
Bra038709	Protein of unknown function (DUF784)
Bra038710	Protein of unknown function (DUF784)
Bra038711	Protein of unknown function (DUF784)
Bra038712	Protein of unknown function (DUF784)
Bra038713	Protein of unknown function (DUF784)
Bra038714	Ankyrin repeat family protein
Bra038715	Ribosomal protein L10 family protein
Bra038716	Nascent polypeptide-associated complex (NAC), alpha subunit family protein
Bra038717	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Bra038718	Protein of unknown function (DUF784)
Bra038719	Protein of unknown function (DUF784)
Bra038720	Protein of unknown function (DUF784)
Bra038721	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Bra038722	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Bra038723	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Bra038724	nuclear factor Y, subunit C11
Bra038725	cystatin B
Bra038726	basic chitinase
Bra038727	basic chitinase
Bra038728	MADS-box family protein
Bra038729	TRF-like 9
Bra038730	No annotation found
Bra038733	FYD
Bra038734	heat shock protein 70
Bra038735	No annotation found
Bra038736	nudix hydrolase homolog 16
Bra038737	Leucine-rich repeat (LRR) family protein
Bra038738	Protein phosphatase 2C family protein
Bra038739	A20/AN1-like zinc finger family protein
Bra038740	RNA binding (RRM/RBD/RNP motifs) family protein
Bra038741	FASCICLIN-like arabinogalactan protein 14 precursor
Bra038742	CTP synthase family protein
Bra038743	Acid phosphatase/vanadium-dependent haloperoxidase-related protein
Bra038744	AGC kinase 1.5
Bra038745	Eukaryotic aspartyl protease family protein
Bra038746	DNA glycosylase superfamily protein
Bra038747	MATE efflux family protein
Bra038748	MATE efflux family protein
Bra038749	MATE efflux family protein
Bra038750	DNA binding
Bra038751	cofactor assembly of complex C
Bra038753	methionine sulfoxide reductase B 2
Bra038754	tobamovirus multiplication 1
Bra038755	beta-glucosidase 47
Bra038756	beta-glucosidase 47
Bra038757	Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
Bra038758	PAK-box/P21-Rho-binding family protein
Bra038759	No annotation found
Bra038760	No annotation found
Bra038761	DNA-directed RNA polymerase family protein
Bra038762	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra038763	NITRATE TRANSPORTER 1.8
Bra038764	C-terminal domain phosphatase-like 1
Bra038765	proline-rich spliceosome-associated (PSP) family protein
Bra038766	Subtilase family protein
Bra038767	receptor kinase 3
Bra038768	Subtilase family protein
Bra038769	glycine-rich protein
Bra038770	No annotation found
Bra038771	sphingosine kinase 1
Bra038772	No annotation found
Bra038773	No annotation found
Bra038774	MYB-like 102
Bra038775	Zinc finger, RING-type;Transcription factor jumonji/aspartyl beta-hydroxylase
Bra038776	cysteine-rich RLK (RECEPTOR-like protein kinase) 29
Bra038777	subtilase 3.12
Bra038778	Subtilase family protein
Bra038779	No annotation found
Bra038780	gibberellin 2-oxidase 8
Bra038781	Cytochrome c oxidase biogenesis protein Cmc1-like
Bra038782	Pentatricopeptide repeat (PPR) superfamily protein
Bra038783	Calcium-dependent ARF-type GTPase activating protein family
Bra038784	ribophorin II (RPN2) family protein
Bra038785	amino acid transporter 1
Bra038786	G10 family protein
Bra038787	Galactosyltransferase family protein
